16 batchsize: 20000000, CUDA event time: 0.531161s, avg time per matmul : 2.65581e-08
17 batchsize: 20000000, CUDA event time: 0.716499s, avg time per matmul : 3.5825e-08
18 batchsize: 20000000, CUDA event time: 0.72724s, avg time per matmul : 3.6362e-08
19 batchsize: 20000000, CUDA event time: 0.740353s, avg time per matmul : 3.70177e-08
20 batchsize: 20000000, CUDA event time: 0.742417s, avg time per matmul : 3.71208e-08
21 batchsize: 20000000, CUDA event time: 0.757993s, avg time per matmul : 3.78996e-08
22 batchsize: 20000000, CUDA event time: 0.785848s, avg time per matmul : 3.92924e-08
23 batchsize: 20000000, CUDA event time: 0.809562s, avg time per matmul : 4.04781e-08
24 batchsize: 20000000, CUDA event time: 0.797749s, avg time per matmul : 3.98875e-08
25 batchsize: 20000000, CUDA event time: 0.974566s, avg time per matmul : 4.87283e-08
26 batchsize: 20000000, CUDA event time: 1.00189s, avg time per matmul : 5.00946e-08
27 batchsize: 20000000, CUDA event time: 1.04942s, avg time per matmul : 5.24711e-08
28 batchsize: 20000000, CUDA event time: 1.07158s, avg time per matmul : 5.3579e-08
29 batchsize: 20000000, CUDA event time: 1.15726s, avg time per matmul : 5.7863e-08
30 batchsize: 20000000, CUDA event time: 1.21994s, avg time per matmul : 6.09968e-08
31 batchsize: 20000000, CUDA event time: 1.29356s, avg time per matmul : 6.46781e-08
32 batchsize: 20000000, CUDA event time: 1.27479s, avg time per matmul : 6.37396e-08
33 batchsize: 20000000, CUDA event time: 3.94357s, avg time per matmul : 1.97179e-07
34 batchsize: 20000000, CUDA event time: 3.94235s, avg time per matmul : 1.97117e-07
35 batchsize: 20000000, CUDA event time: 3.97595s, avg time per matmul : 1.98797e-07
36 batchsize: 20000000, CUDA event time: 3.97226s, avg time per matmul : 1.98613e-07
37 batchsize: 20000000, CUDA event time: 3.99168s, avg time per matmul : 1.99584e-07
38 batchsize: 20000000, CUDA event time: 4.02112s, avg time per matmul : 2.01056e-07
39 batchsize: 20000000, CUDA event time: 4.09061s, avg time per matmul : 2.0453e-07
40 batchsize: 20000000, CUDA event time: 4.01923s, avg time per matmul : 2.00961e-07
